series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
W30,2569,2569,0.0,31.914000034332275,33.62956792531472,7.959441503483353,0.4964963197397049,257,7.791823193054048,0.2714410230061942,824,1.063445493991229,,,,,,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
deseas,120988,83485,0.30997288987337585,0.16459254963696465,1.153648854954089,1.4363845236657367,0.013058580746158047,12099,0.5232912354664752,0.0027087006165237835,37322,1.0867488540407972,1.8522814237788034,5.988123076671083,1621.0,0.0,20000.0,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,25.161552026378672
fill,186704,67084,0.6406932899134459,0.051999807357788086,0.46276313308726974,0.7083706008235418,0.005184279046242013,18670,0.2308866363144113,0.0010458607288160297,48736,2.005215561086626,1.634486808256711,4.794522327801252,1621.0,0.0,20000.0,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
order,94197,67084,0.2878329458475323,0.051999807357788086,0.9172237757033198,1.2245752411287603,0.01261711388387028,9420,0.38153542810797686,0.002176368308924619,30733,2.0226991194724318,1.6453153327608743,4.715000152587891,1622.0,0.0,20000.0,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
W0.1,31350,31350,0.0,1.113999843597412,2.755972185005602,1.9520055541679202,0.034862800964198914,3135,1.1803259537113608,0.01177796407779573,10043,1.4546927494894732,,,,,,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
W1,19068,19068,0.0,2.7850000858306885,4.531112701907357,2.475771898307877,0.056693762829898575,1907,1.6506446735028855,0.02216878972258002,5544,1.1623665152722844,,,,,,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
W5,9388,9388,0.0,7.258000016212463,9.203159032804589,3.135214480567794,0.1023138577823904,939,2.4204659647669056,0.04373463252922713,3063,1.0406564857856657,,,,,,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
W30,2492,2492,0.0,32.699000000953674,34.67064887639225,6.921536895803152,0.43863457817703744,249,6.986777108618006,0.3015016865207827,537,1.0119190696726383,,,,,,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,
deseas,94197,67084,0.2878329458475323,0.07752937539738121,1.1013698518898543,1.375519468412937,0.014172331106784071,9420,0.4076384249809446,0.0023252659760272607,30733,1.3490556710260049,1.7276293643377922,5.840529181609794,1621.0,0.0,20000.0,BICOUSDT,8441673.6709602,94198,186705,1.9820484511348437,7.566608827422254
fill,33178,14391,0.566248719030683,1.6740000247955322,2.6038368798644598,1.1004874273434373,0.019104993506829957,3318,0.689476447179995,0.007768532953840953,7877,1.3110582954722678,1.7106951397486636,18.967827751718715,1167.0,0.0,14391.0,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
order,18139,14391,0.20662660565632063,1.6740000247955322,4.7626715916061,1.4302211284232387,0.03358029817739269,1814,0.8931630974908215,0.012557362500888897,5059,1.1025877476603738,1.7106951397486636,18.967827751718715,1167.0,0.0,14391.0,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
W0.1,12777,12777,0.0,2.193000078201294,6.761375909849186,1.6090387000091648,0.045009176060854326,1278,1.1037951911110184,0.019326202212114375,3262,0.9487981829727241,,,,,,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
W1,9703,9703,0.0,3.761000156402588,8.90344223437525,1.7915160153761018,0.05752211258674646,970,1.136540774960406,0.02057276932888796,3052,1.0752801354945136,,,,,,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
W5,5585,5585,0.0,9.047999858856201,15.468236347384611,2.077969115083731,0.08796744717270244,558,1.5495169949786072,0.0380543300720183,1658,1.2020746750176257,,,,,,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
W30,1945,1945,0.0,36.41499996185303,44.41390642678523,3.217254715260423,0.23098542711726086,194,2.779740595006319,0.11236435377478764,612,1.116470121770272,,,,,,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,
deseas,18139,14391,0.20662660565632063,2.57827348397596,5.743218509836186,1.5353440738624309,0.03604848983180183,1814,0.9104081837676009,0.011942925282529496,5811,0.831167291565395,2.0823620398305973,31.414090283492968,720.0,0.025,14391.0,SPCXBUSDT,4934826.53162,18140,33179,1.8290518191841234,6.129236272794493
fill,19254,6228,0.6765347460267996,1.6304998397827148,4.486607614008824,1.1404573600606098,0.025993435636028794,1925,0.16133961994853083,0.0022429924792367697,5174,1.6705860650804196,1.324502761557802,18.83208624247847,1665.0,0.0,6228.0,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
order,7032,6228,0.11433447098976109,1.6304998397827148,12.284576649619723,3.8080234474900596,0.14362232447029422,703,0.8962853243356954,0.018709188061404803,2295,1.744893104408105,1.324502761557802,18.83208624247847,1665.0,0.0,6228.0,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
W0.1,3822,3822,0.0,15.0,22.602078231325454,9.596790798517008,0.4910145326607281,382,1.957510156456411,0.05754894210089115,1157,1.2844405250914894,,,,,,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
W1,3277,3277,0.0,19.347000122070312,26.36104455298318,8.911011195938226,0.4920282826187508,328,2.110217310578162,0.06454139213157906,1069,1.1810799325140322,,,,,,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
W5,2808,2808,0.0,24.47000002861023,30.763939814859647,8.127785457149875,0.4848630302883654,281,2.7907487160634066,0.09477879543881237,867,1.1448612055974947,,,,,,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
W30,1612,1612,0.0,53.62350010871887,53.57639330019134,6.919271658855322,0.5453149997939163,161,5.399244398210558,0.2928151397946578,340,1.0354971339505892,,,,,,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,
deseas,7032,6228,0.11433447098976109,1.7981766806425297,13.284036272943167,2.9477057800749646,0.11117482910141492,703,0.9058993016986557,0.018909871600025753,2295,1.1330374148227917,3.30199981713197,53.659908229016295,505.0,0.0,6228.0,TRUMPUSDT,3008633.93431,7033,19255,2.7378074790274423,2.9730485762262466
fill,16289,5140,0.6844496285837068,2.001000165939331,5.30276493338548,0.912547192011955,0.022609699533225835,1629,0.14552728428789538,0.002121830893799353,4704,0.4364980759588729,1.3285765929180253,30.0,751.0,0.0,5140.0,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
order,6168,5140,0.16666666666666666,2.001000165939331,14.004010700375499,1.3381632826169436,0.053872425251724844,617,1.3139103025362322,0.0619383256529492,450,0.4197274319494136,1.3285765929180253,30.0,751.0,0.0,5140.0,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
