market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,5.0,ALLOUSDT,HEMIUSDT,0.9259259259259259,0.6777199074074074,0.5615497411904598,1.0270597913148893,0.7913852899987145,1.3823021340890096
binance,5.0,ALLOUSDT,LINKUSDT,0.9259259259259259,0.7530092592592592,2.1889424126884327,1.0083658085192821,0.9363215110288325,1.101231058358282
binance,5.0,ALLOUSDT,LQTYUSDT,0.9259259259259259,0.03234953703703704,1.1677040483010632,1.2655915191158227,0.878979480638453,2.022638477932606
binance,5.0,ALLOUSDT,PLUMEUSDT,0.9259259259259259,0.9414930555555555,2.9181173646758025,0.9457652718729022,0.7479596463647167,1.1571262702350384
binance,5.0,ALLOUSDT,PYPLBUSDT,0.9259259259259259,0.02326388888888889,1.266291127896556,1.0849858356940507,0.7200015706489584,2.283518883848781
binance,5.0,ALLOUSDT,RSRUSDT,0.9259259259259259,0.06689814814814815,2.3881954458451133,0.9912876974629009,0.7552069852925075,1.4515065797287667
binance,5.0,ALLOUSDT,SMHBUSDT,0.9259259259259259,0.024016203703703703,1.7838948350388457,1.0351120351120353,0.7241711826381275,2.377844955946681
binance,5.0,ALLOUSDT,SOLUSDT,0.9259259259259259,0.8740162037037037,1.5165543546992366,1.220010261672653,1.0016657503096813,1.4704962952436282
binance,5.0,ALLOUSDT,SPCXBUSDT,0.9259259259259259,0.3865162037037037,1.6612035584781653,1.0677873489328877,0.8446968042256986,1.344518048853207
binance,5.0,ALLOUSDT,SYRUPUSDT,0.9259259259259259,0.14884259259259258,0.8303314504955771,1.0531467852024583,0.8980741142244202,1.230521719658545
binance,5.0,ALLOUSDT,TRUMPUSDT,0.9259259259259259,0.1752314814814815,1.1818144673712645,1.1273327347295363,0.9351211500327461,1.3467301289146945
binance,5.0,ALLOUSDT,XPLUSDT,0.9259259259259259,0.9575231481481481,5.752123071450803,0.9752642870066427,0.8120738337283246,1.266553841005072
binance,5.0,ALLOUSDT,XRPUSDT,0.9259259259259259,0.7028935185185186,1.1205207175356429,0.929427862100096,0.8177921536665266,1.0551927667366185
binance,5.0,ALLOUSDT,XVSUSDT,0.9259259259259259,0.1355324074074074,0.9481328090722871,1.2701748292231096,1.0759169132690722,1.449797832817956
binance,5.0,AMPUSDT,AUSDT,0.08206018518518518,0.033622685185185186,0.9605215116754312,0.9458872893004412,0.68007127588658,1.2578396273824788
binance,5.0,AMPUSDT,BICOUSDT,0.08206018518518518,0.6800925925925926,0.9778266508768961,0.9915193567927749,0.8891791648229622,1.136641963658666
binance,5.0,AMPUSDT,ETHUSDT,0.08206018518518518,0.9404513888888889,0.9789888654548515,0.9819996792815908,0.8136602008346879,1.237075288516011
binance,5.0,AMPUSDT,HEMIUSDT,0.08206018518518518,0.6777199074074074,1.1983701118280559,0.9365270549735246,0.7568795350858031,1.1379769035903193
binance,5.0,AMPUSDT,LINKUSDT,0.08206018518518518,0.7530092592592592,0.9725920993449677,1.1282808535418658,1.0019299995825894,1.2870061607727443
binance,5.0,AMPUSDT,LQTYUSDT,0.08206018518518518,0.03234953703703704,1.1529076097158089,1.1502207034031042,0.8777290627782003,1.5451268162247351
binance,5.0,AMPUSDT,PLUMEUSDT,0.08206018518518518,0.9414930555555555,0.7662718926008796,0.9833063016733258,0.8375579976865343,1.2213897872475268
binance,5.0,AMPUSDT,PYPLBUSDT,0.08206018518518518,0.02326388888888889,1.2785050000301752,1.2256894741864683,0.8649889833043378,1.792986057255251
binance,5.0,AMPUSDT,RSRUSDT,0.08206018518518518,0.06689814814814815,0.7065374799853544,0.8510734556222752,0.6333308462977897,1.0651557843606994
binance,5.0,AMPUSDT,SMHBUSDT,0.08206018518518518,0.024016203703703703,1.1648010430006326,1.3053958425475451,0.736507566020856,2.1529871221084025
binance,5.0,AMPUSDT,SOLUSDT,0.08206018518518518,0.8740162037037037,1.0045169139095498,1.0704198634179243,0.8968777057744293,1.283021186856946
binance,5.0,AMPUSDT,SPCXBUSDT,0.08206018518518518,0.3865162037037037,0.8592712223751584,0.909741680610699,0.794198188901088,1.0437358518488669
binance,5.0,AMPUSDT,SYRUPUSDT,0.08206018518518518,0.14884259259259258,0.9575699051605148,1.0067916816925113,0.8169490012302901,1.2509783267273409
binance,5.0,AMPUSDT,TRUMPUSDT,0.08206018518518518,0.1752314814814815,1.0188011922827866,1.0772020386826975,0.9263044673960026,1.2487866249751582
binance,5.0,AMPUSDT,XPLUSDT,0.08206018518518518,0.9575231481481481,0.5353932511941086,0.841829484902309,0.5461252122985052,1.4377426951915182
binance,5.0,AMPUSDT,XRPUSDT,0.08206018518518518,0.7028935185185186,0.9242176766551089,0.9593291140569078,0.8707589619058252,1.0759665758093735
binance,5.0,AMPUSDT,XVSUSDT,0.08206018518518518,0.1355324074074074,1.1540749286476646,0.9984821885743544,0.8663353413893327,1.1164458568083035
